epsiode_no,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
1,2.0400000000000014,0.0,0.0,24.3538905644,0.0,0.0,0.0,0.0,0.0,2.73834343109,0.0,0.0,0.0,0,0,0,0,29.2015847562
1,2.1000000000000014,0.0,0.0,24.499935762,0.0,0.0,0.0,0.0,0.0,2.13117079909,0.0,0.0,0.0,0,0,0,0,28.7430065649
1,2.1600000000000015,0.0,0.0,24.609798156,0.0,0.0,0.0,0.0,0.0,1.53191644193,0.0,0.0,0.0,0,0,0,0,28.3946972995
1,2.2200000000000015,0.0,0.0,24.7713431114,0.0,0.0,0.0,0.0,0.0,3.84819863216,0.0,0.0,0.0,14,14,14,14,28.024392289
1,2.2800000000000016,0.0,0.0,24.9833609921,0.0,0.0,0.0,0.0,0.0,3.22105373495,0.0,0.0,0.0,0,0,0,0,27.4468278695
1,2.3400000000000016,0.0,0.0,25.1581261059,0.0,0.0,0.0,0.0,0.0,2.60606615569,0.0,0.0,0.0,0,0,0,0,26.9378560306
1,2.4000000000000017,0.0,0.0,25.296294082,0.0,0.0,0.0,0.0,0.0,2.00080027045,0.0,0.0,0.0,0,0,0,0,26.5358364179
1,2.4600000000000017,0.0,0.0,25.3983789996,0.0,0.0,0.0,0.0,0.0,1.40296766809,0.0,0.0,0.0,0,0,0,0,26.2347570391
1,2.520000000000002,0.0,0.0,25.5522307142,0.0,0.0,0.0,0.0,0.0,3.7209624798,0.0,0.0,0.0,14,14,14,14,25.9126124068
1,2.580000000000002,0.0,0.0,25.7566962268,0.0,0.0,0.0,0.0,0.0,3.09646686063,0.0,0.0,0.0,0,0,0,0,25.3978718007
1,2.640000000000002,0.0,0.0,25.9240526573,0.0,0.0,0.0,0.0,0.0,2.48362495852,0.0,0.0,0.0,0,0,0,0,24.9454895041
1,2.700000000000002,0.0,0.0,26.0549264372,0.0,0.0,0.0,0.0,0.0,1.88003389173,0.0,0.0,0.0,0,0,0,0,24.5912284766
1,2.760000000000002,0.0,0.0,26.1498041787,0.0,0.0,0.0,0.0,0.0,1.28343033421,0.0,0.0,0.0,0,0,0,0,24.3298120603
1,2.820000000000002,0.0,0.0,26.2965215537,0.0,0.0,0.0,0.0,0.0,3.6029267106,0.0,0.0,0.0,14,14,14,14,24.0482606907
1,2.880000000000002,0.0,0.0,26.4939782891,0.0,0.0,0.0,0.0,0.0,2.98080566924,0.0,0.0,0.0,0,0,0,0,23.5871860043
1,2.940000000000002,0.0,0.0,26.6544543901,0.0,0.0,0.0,0.0,0.0,2.36987563911,0.0,0.0,0.0,0,0,0,0,23.1830997566
1,3.000000000000002,0.0,0.0,26.7785494302,0.0,0.0,0.0,0.0,0.0,1.76776278962,0.0,0.0,0.0,0,0,0,0,22.8694418958
1,3.0600000000000023,0.0,0.0,26.8667246941,0.0,0.0,0.0,0.0,0.0,1.17222587675,0.0,0.0,0.0,0,0,0,0,22.6415568072
1,3.1200000000000023,0.0,0.0,27.0068028159,0.0,0.0,0.0,0.0,0.0,3.49304474897,0.0,0.0,0.0,14,14,14,14,22.3944466153
1,3.1800000000000024,0.0,0.0,27.1977327562,0.0,0.0,0.0,0.0,0.0,2.87306228785,0.0,0.0,0.0,0,0,0,0,21.9795095788
1,3.2400000000000024,0.0,0.0,27.3517974361,0.0,0.0,0.0,0.0,0.0,2.26384383011,0.0,0.0,0.0,0,0,0,0,21.6169035493
1,3.3000000000000025,0.0,0.0,27.4695716162,0.0,0.0,0.0,0.0,0.0,1.66304145673,0.0,0.0,0.0,0,0,0,0,21.3379832515
1,3.3600000000000025,0.0,0.0,27.5514931283,0.0,0.0,0.0,0.0,0.0,1.06843345821,0.0,0.0,0.0,0,0,0,0,21.1386212773
1,3.4200000000000026,0.0,0.0,27.6853725664,0.0,0.0,0.0,0.0,0.0,3.3904219375,0.0,0.0,0.0,14,14,14,14,20.9209112557
1,3.4800000000000026,0.0,0.0,27.8702049948,0.0,0.0,0.0,0.0,0.0,2.77237407018,0.0,0.0,0.0,0,0,0,0,20.5458752689
1,3.5400000000000027,0.0,0.0,28.0182762515,0.0,0.0,0.0,0.0,0.0,2.16469454553,0.0,0.0,0.0,0,0,0,0,20.2191052102
1,3.6000000000000028,0.0,0.0,28.1301380815,0.0,0.0,0.0,0.0,0.0,1.56505866736,0.0,0.0,0.0,0,0,0,0,19.970078009
1,3.660000000000003,0.0,0.0,28.2062065158,0.0,0.0,0.0,0.0,0.0,0.971262085166,0.0,0.0,0.0,0,0,0,0,19.7951184145
1,3.720000000000003,0.0,0.0,28.2467680675,0.0,0.0,0.0,0.0,0.0,0.381187132718,0.0,0.0,0.0,0,0,0,0,19.6916742953
1,3.780000000000003,0.0,0.0,28.3395562186,0.0,0.0,0.0,0.0,0.0,2.70933998094,0.0,0.0,0.0,14,14,14,14,19.5692550118
1,3.840000000000003,0.0,0.0,28.483874498,0.0,0.0,0.0,0.0,0.0,2.10259408062,0.0,0.0,0.0,0,0,0,0,19.2968730049
1,3.900000000000003,0.0,0.0,28.5920323533,0.0,0.0,0.0,0.0,0.0,1.50365980062,0.0,0.0,0.0,0,0,0,0,19.0662963561
1,3.960000000000003,0.0,0.0,28.664432222,0.0,0.0,0.0,0.0,0.0,0.910343219556,0.0,0.0,0.0,0,0,0,0,18.9062117934
1,4.020000000000002,0.0,0.0,28.7013475496,0.0,0.0,0.0,0.0,0.0,0.320533806563,0.0,0.0,0.0,0,0,0,0,18.8142857607
1,4.080000000000001,0.0,0.0,28.7905051889,0.0,0.0,0.0,0.0,0.0,2.64909863447,0.0,0.0,0.0,14,14,14,14,18.7041172799
1,4.14,0.0,0.0,28.9312361198,0.0,0.0,0.0,0.0,0.0,2.04322354234,0.0,0.0,0.0,0,0,0,0,18.4504239229
1,4.199999999999998,0.0,0.0,29.0358521962,0.0,0.0,0.0,0.0,0.0,1.44493911203,0.0,0.0,0.0,0,0,0,0,18.2364469253
1,4.259999999999997,0.0,0.0,29.1047429022,0.0,0.0,0.0,0.0,0.0,0.852061075373,0.0,0.0,0.0,0,0,0,0,18.0896964838
1,4.319999999999996,0.0,0.0,29.1381692138,0.0,0.0,0.0,0.0,0.0,0.262485427792,0.0,0.0,0.0,0,0,0,0,18.0080345732
1,4.379999999999995,0.0,0.0,29.2238516604,0.0,0.0,0.0,0.0,0.0,2.5914244504,0.0,0.0,0.0,14,14,14,14,17.9088153602
1,4.439999999999993,0.0,0.0,29.3611475231,0.0,0.0,0.0,0.0,0.0,1.98636340582,0.0,0.0,0.0,0,0,0,0,17.6720046402
1,4.499999999999992,0.0,0.0,29.4623710022,0.0,0.0,0.0,0.0,0.0,1.38868218194,0.0,0.0,0.0,0,0,0,0,17.4730069061
1,4.559999999999991,0.0,0.0,29.5278992136,0.0,0.0,0.0,0.0,0.0,0.796205466167,0.0,0.0,0.0,0,0,0,0,17.338246345
1,4.6199999999999894,0.0,0.0,29.5579812125,0.0,0.0,0.0,0.0,0.0,0.206835234119,0.0,0.0,0.0,0,0,0,0,17.2657604181
1,4.679999999999988,0.0,0.0,29.6403314837,0.0,0.0,0.0,0.0,0.0,2.53611453649,0.0,0.0,0.0,14,14,14,14,17.1763579713
1,4.739999999999987,0.0,0.0,29.7743325486,0.0,0.0,0.0,0.0,0.0,1.93181610489,0.0,0.0,0.0,0,0,0,0,16.9548414254
1,4.799999999999986,0.0,0.0,29.8723008958,0.0,0.0,0.0,0.0,0.0,1.3346959229,0.0,0.0,0.0,0,0,0,0,16.7693993423
1,4.859999999999984,0.0,0.0,29.93460181,0.0,0.0,0.0,0.0,0.0,0.742587004104,0.0,0.0,0.0,0,0,0,0,16.6454519254
1,4.919999999999983,0.0,0.0,29.9614729284,0.0,0.0,0.0,0.0,0.0,0.15339681327,0.0,0.0,0.0,0,0,0,0,16.5811946229
1,4.979999999999982,0.0,0.0,30.0406229474,0.0,0.0,0.0,0.0,0.0,2.48298586211,0.0,0.0,0.0,14,14,14,14,16.5006202585
1,5.0399999999999805,0.0,0.0,30.1714586475,0.0,0.0,0.0,0.0,0.0,1.87940330977,0.0,0.0,0.0,0,0,0,0,16.2929960172
1,5.099999999999979,0.0,0.0,30.2662987501,0.0,0.0,0.0,0.0,0.0,1.28280594756,0.0,0.0,0.0,0,0,0,0,16.1198546562
1,5.159999999999978,0.0,0.0,30.3254972014,0.0,0.0,0.0,0.0,0.0,0.691034545983,0.0,0.0,0.0,0,0,0,0,16.0056869109
1,5.219999999999977,0.0,0.0,30.3492806838,0.0,0.0,0.0,0.0,0.0,0.102001615891,0.0,0.0,0.0,0,0,0,0,15.9488308862
1,5.279999999999975,0.0,0.0,30.4253523395,0.0,0.0,0.0,0.0,0.0,2.43187284236,0.0,0.0,0.0,14,14,14,14,15.8762187885
1,5.339999999999974,0.0,0.0,30.5531423008,0.0,0.0,0.0,0.0,0.0,1.82896359815,0.0,0.0,0.0,0,0,0,0,15.6812456699
1,5.399999999999973,0.0,0.0,30.644971468,0.0,0.0,0.0,0.0,0.0,1.23285431533,0.0,0.0,0.0,0,0,0,0,15.5192952831
1,5.4599999999999715,0.0,0.0,30.7011829028,0.0,0.0,0.0,0.0,0.0,0.641393004782,0.0,0.0,0.0,0,0,0,0,15.4139967574
1,5.51999999999997,0.0,0.0,30.7219927587,0.0,0.0,0.0,0.0,0.0,0.0524968226898,0.0,0.0,0.0,0,0,0,0,15.3638173793
1,5.579999999999969,0.0,0.0,30.7950988401,0.0,0.0,0.0,0.0,0.0,2.38262526453,0.0,0.0,0.0,14,14,14,14,15.2984071159
1,5.639999999999968,0.0,0.0,30.9199537897,0.0,0.0,0.0,0.0,0.0,1.78035045483,0.0,0.0,0.0,0,0,0,0,15.1149828461
1,5.699999999999966,0.0,0.0,31.0088806349,0.0,0.0,0.0,0.0,0.0,1.18469759516,0.0,0.0,0.0,0,0,0,0,14.963239116
1,5.759999999999965,0.0,0.0,31.0622119716,0.0,0.0,0.0,0.0,0.0,0.593521466989,0.0,0.0,0.0,0,0,0,0,14.8660053983
1,5.819999999999964,0.0,0.0,31.0801538178,0.0,0.0,0.0,0.0,0.0,0.00474350820315,0.0,0.0,0.0,0,0,0,0,14.8218662806
1,5.879999999999963,0.0,0.0,31.150398839,0.0,0.0,0.0,0.0,0.0,2.33510650161,0.0,0.0,0.0,14,14,14,14,14.762988145
1,5.939999999999961,0.0,0.0,31.2724214076,0.0,0.0,0.0,0.0,0.0,1.73343054691,0.0,0.0,0.0,0,0,0,0,14.5901309691
1,5.99999999999996,0.0,0.0,31.358546629,0.0,0.0,0.0,0.0,0.0,1.13820519413,0.0,0.0,0.0,0,0,0,0,14.4477183384
1,6.059999999999959,0.0,0.0,31.4090970194,0.0,0.0,0.0,0.0,0.0,0.547291566898,0.0,0.0,0.0,0,0,0,0,14.3578367535
1,6.1199999999999575,0.0,0.0,31.4242688251,0.0,0.0,0.0,0.0,0.0,-0.0413849459812,0.0,0.0,0.0,0,0,0,0,14.3191775981
1,6.179999999999956,0.0,0.0,31.4917496263,0.0,0.0,0.0,0.0,0.0,2.28918936653,0.0,0.0,0.0,14,14,14,14,14.2662403837
1,6.239999999999955,0.0,0.0,31.6110349051,0.0,0.0,0.0,0.0,0.0,1.68807966202,0.0,0.0,0.0,0,0,0,0,14.1030736932
1,6.299999999999954,0.0,0.0,31.694451824,0.0,0.0,0.0,0.0,0.0,1.09325536314,0.0,0.0,0.0,0,0,0,0,13.9692114499
1,6.359999999999952,0.0,0.0,31.7423131766,0.0,0.0,0.0,0.0,0.0,0.502583544329,0.0,0.0,0.0,0,0,0,0,13.8860491705
1,6.419999999999951,0.0,0.0,31.7548057739,0.0,0.0,0.0,0.0,0.0,-0.0860067561705,0.0,0.0,0.0,0,0,0,0,13.8523757235
1,6.47999999999995,0.0,0.0,31.8196122695,0.0,0.0,0.0,0.0,0.0,2.24475985155,0.0,0.0,0.0,14,14,14,14,13.8048562819
1,6.5399999999999485,0.0,0.0,31.9362485904,0.0,0.0,0.0,0.0,0.0,1.64418642821,0.0,0.0,0.0,0,0,0,0,13.6505951035
1,6.599999999999947,0.0,0.0,32.0170439133,0.0,0.0,0.0,0.0,0.0,1.04973890941,0.0,0.0,0.0,0,0,0,0,13.5245851306
1,6.659999999999946,0.0,0.0,32.0623016395,0.0,0.0,0.0,0.0,0.0,0.459289961827,0.0,0.0,0.0,0,0,0,0,13.447578682
1,6.719999999999945,0.0,0.0,32.0721994565,0.0,0.0,0.0,0.0,0.0,-0.129228002503,0.0,0.0,0.0,0,0,0,0,13.4184538335
1,6.779999999999943,0.0,0.0,32.1344152525,0.0,0.0,0.0,0.0,0.0,2.20171376698,0.0,0.0,0.0,14,14,14,14,13.3758881122
1,6.839999999999942,0.0,0.0,32.2484847689,0.0,0.0,0.0,0.0,0.0,1.60164901957,0.0,0.0,0.0,0,0,0,0,13.229827752
1,6.899999999999941,0.0,0.0,32.3267391529,0.0,0.0,0.0,0.0,0.0,1.00755595577,0.0,0.0,0.0,0,0,0,0,13.1110442466
1,6.95999999999994,0.0,0.0,32.3694727202,0.0,0.0,0.0,0.0,0.0,0.417312505222,0.0,0.0,0.0,0,0,0,0,13.039690736
1,7.019999999999938,0.0,0.0,32.3768543237,0.0,0.0,0.0,0.0,0.0,-0.171145798973,0.0,0.0,0.0,0,0,0,0,13.014727127
1,7.079999999999937,0.0,0.0,32.436557236,0.0,0.0,0.0,0.0,0.0,2.15995541537,0.0,0.0,0.0,14,14,14,14,12.9767026359
1,7.139999999999936,0.0,0.0,32.5481364249,0.0,0.0,0.0,0.0,0.0,1.56037386678,0.0,0.0,0.0,0,0,0,0,12.8382089681
1,7.1999999999999345,0.0,0.0,32.6239249669,0.0,0.0,0.0,0.0,0.0,0.966614681952,0.0,0.0,0.0,0,0,0,0,12.7260896555
1,7.259999999999933,0.0,0.0,32.6642083769,0.0,0.0,0.0,0.0,0.0,0.376560750344,0.0,0.0,0.0,0,0,0,0,12.6599392954
