time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,0.0,0.0,9.98235019174,0.0,0.0,0.0,0.0,0.0,-0.58842717121,0.0,0.0,0.0,0,0,0,0,0.00134961881915
0.12000000000000001,0.0,0.0,9.92935298438,0.0,0.0,0.0,0.0,0.0,-1.17854854657,0.0,0.0,0.0,0,0,0,0,0.00129527480244
0.18,0.0,0.0,9.84084528443,0.0,0.0,0.0,0.0,0.0,-1.77241722076,0.0,0.0,0.0,0,0,0,0,0.00119993859857
0.23999999999999996,0.0,0.0,9.71653948375,0.0,0.0,0.0,0.0,0.0,-2.37213491448,0.0,0.0,0.0,0,0,0,0,0.0010727457346
0.3,0.0,0.0,9.55601964861,0.0,0.0,0.0,0.0,0.0,-2.97988202006,0.0,0.0,0.0,0,0,0,0,0.000925156199878
0.36000000000000004,0.0,0.0,9.35873584178,0.0,0.0,0.0,0.0,0.0,-3.59794993488,0.0,0.0,0.0,0,0,0,0,0.000769302225079
0.4200000000000001,0.0,0.0,9.12399640972,0.0,0.0,0.0,0.0,0.0,-4.22877672063,0.0,0.0,0.0,0,0,0,0,0.000616404914485
0.48000000000000015,0.0,0.0,8.85095800003,0.0,0.0,0.0,0.0,0.0,-4.87498730139,0.0,0.0,0.0,0,0,0,0,0.000475534852194
0.5400000000000001,0.0,0.0,8.53861299405,0.0,0.0,0.0,0.0,0.0,-5.53943965972,0.0,0.0,0.0,0,0,0,0,0.000352888293412
0.6000000000000002,0.0,0.0,8.18577394288,0.0,0.0,0.0,0.0,0.0,-6.22527883018,0.0,0.0,0.0,0,0,0,0,0.000251621434708
0.6600000000000003,0.0,0.0,7.79105447313,0.0,0.0,0.0,0.0,0.0,-6.93600095376,0.0,0.0,0.0,0,0,0,0,0.00017216630116
0.7200000000000003,0.0,0.0,7.35284597536,0.0,0.0,0.0,0.0,0.0,-7.67553028737,0.0,0.0,0.0,0,0,0,0,0.000112870910327
0.7800000000000004,0.0,0.0,6.86928918963,0.0,0.0,0.0,0.0,0.0,-8.44831292394,0.0,0.0,0.0,0,0,0,0,7.07766266184e-05
0.8400000000000004,0.0,0.0,6.33823954354,0.0,0.0,0.0,0.0,0.0,-9.25943216068,0.0,0.0,0.0,0,0,0,0,4.23638993185e-05
0.9000000000000005,0.0,0.0,5.75722475515,0.0,0.0,0.0,0.0,0.0,-10.1147520903,0.0,0.0,0.0,0,0,0,0,2.41485772354e-05
0.9600000000000005,0.0,0.0,5.12339275348,0.0,0.0,0.0,0.0,0.0,-11.0210982801,0.0,0.0,0.0,0,0,0,0,1.30741868285e-05
1.0200000000000005,0.0,0.0,4.43344734509,0.0,0.0,0.0,0.0,0.0,-11.986487648,0.0,0.0,0.0,0,0,0,0,6.70231576234e-06
1.0800000000000005,0.0,0.0,3.68356819681,0.0,0.0,0.0,0.0,0.0,-13.0204242961,0.0,0.0,0.0,0,0,0,0,3.24169575393e-06
1.1400000000000006,0.0,0.0,2.86931050729,0.0,0.0,0.0,0.0,0.0,-14.1342848369,0.0,0.0,0.0,0,0,0,0,1.47319020101e-06
1.2000000000000006,0.0,0.0,1.9854780449,0.0,0.0,0.0,0.0,0.0,-15.3418267711,0.0,0.0,0.0,0,0,0,0,6.26022564128e-07
1.2600000000000007,0.0,0.0,1.02596079156,0.0,0.0,0.0,0.0,0.0,-16.6598685631,0.0,0.0,0.0,0,0,0,0,2.47350563082e-07
0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-99.99999993
